400 10
10,14
41,6
11,36
41,34
22,37
6,22
11,35
46,4
18,26
13,47
4,21
29,40
21,26
16,42
41,27
27,4
8,43
25,34
10,36
6,44
1,13
20,45
28,36
31,21
43,21
32,6
19,42
38,21
22,6
19,35
13,12
41,35
13,16
11,5
28,23
9,39
32,16
29,49
16,23
40,21
44,3
22,7
22,42
43,14
47,29
26,50
27,41
1,16
30,11
28,47
7,6
5,1
46,46
45,8
48,36
39,40
15,5
19,46
3,22
7,29
46,24
41,2
28,31
28,39
30,1
49,15
43,5
24,13
5,16
23,9
50,14
28,40
38,39
40,47
3,42
21,37
26,4
5,32
21,48
36,28
6,18
34,15
45,26
8,19
35,5
17,20
7,15
24,21
34,36
29,30
17,3
18,22
4,31
13,36
20,7
2,2
31,1
50,45
14,26
19,13
46,1
35,13
16,17
41,16
47,11
41,10
44,16
39,9
1,44
5,12
1,1
30,31
24,12
41,22
13,3
47,28
30,48
3,5
6,26
46,22
30,18
3,7
41,24
49,40
31,23
32,42
25,1
25,50
14,19
6,38
6,49
4,48
21,31
50,40
45,6
47,47
19,2
2,28
34,5
14,22
2,9
38,43
11,13
20,26
46,39
21,44
28,49
28,20
35,3
26,39
33,9
36,26
27,13
14,33
26,36
21,17
1,23
40,9
24,18
15,23
49,32
36,19
23,34
41,26
50,4
47,50
22,24
7,8
29,2
41,19
7,49
5,4
35,2
50,26
28,25
1,9
20,28
28,45
31,15
34,43
13,5
11,6
12,19
48,28
8,25
1,47
26,34
7,10
34,13
47,30
46,48
14,30
9,20
10,39
39,23
30,50
20,27
11,28
43,38
44,5
41,3
15,36
1,30
47,40
41,5
46,15
26,17
33,17
21,27
16,9
2,13
4,19
27,2
40,11
14,46
25,2
5,36
34,12
45,42
49,50
10,29
24,19
33,43
10,8
49,34
36,14
40,14
20,48
30,28
38,12
47,23
12,47
45,39
49,22
22,38
48,16
44,8
12,42
18,10
25,48
25,47
11,1
12,5
44,45
38,23
45,41
9,5
45,38
16,33
15,11
8,21
21,19
41,42
22,32
38,11
26,40
23,31
2,20
27,35
13,7
1,25
42,33
25,36
4,25
12,21
3,29
3,3
17,21
36,2
10,9
4,9
39,18
20,2
28,11
26,18
17,33
5,38
32,17
25,39
23,4
33,24
11,7
17,49
33,41
1,15
18,19
7,32
33,47
13,26
43,41
44,41
39,28
6,34
2,50
31,18
40,35
17,30
12,31
11,45
27,19
21,9
45,3
15,30
24,42
13,19
18,31
23,43
38,44
45,34
8,9
7,4
9,7
38,36
48,44
43,28
40,28
6,5
24,38
32,21
37,44
4,43
17,17
27,20
48,26
18,9
44,46
42,13
19,20
48,21
42,11
11,11
27,27
50,23
33,28
18,43
48,9
9,37
5,19
40,23
31,30
19,33
30,29
23,2
50,15
47,37
33,3
32,50
48,42
1,42
35,42
46,3
14,11
39,5
37,9
50,2
47,5
43,22
16,36
46,33
26,23
8,47
47,17
8,30
22,35
46,7
25,15
31,11
27,9
49,13
11,18
11,37
50,27
23,11
35,7
45,10
48,12
49,12
16,24
30,25
7,50
40,29
18,34
24,28
40,5
24,20
2,47
35,28
22,12
23,48
1,18
39,10
39,44
33,30
6,14
41,38
14,28
18,36
5,6
14,41
36,49
23,36
43,37
25,45
1,40
25,10
12,27
12,11
48,22
48,14
7,45
