100 10
26,27
17,31
1,35
28,47
46,50
27,31
10,18
49,30
48,1
45,50
41,26
39,5
40,7
12,9
11,41
44,25
14,1
34,40
33,24
40,33
24,38
35,16
8,11
16,39
43,10
35,34
41,7
37,50
40,50
30,39
18,23
6,15
44,41
34,7
48,21
11,36
3,8
36,19
37,38
12,11
6,6
17,38
9,9
49,26
34,15
9,27
16,21
8,21
38,9
4,23
25,38
50,11
13,28
22,41
10,17
3,28
41,16
49,16
45,25
22,6
2,50
15,9
48,38
24,22
13,23
11,46
26,43
11,12
34,5
35,50
27,27
13,4
37,41
27,24
39,28
5,41
46,21
32,43
47,45
41,5
48,31
39,1
25,29
26,49
45,1
34,16
7,7
35,28
8,40
9,49
27,21
9,22
28,15
26,19
45,26
11,5
40,42
13,35
39,4
48,42
3,19
37,17
26,25
8,30
32,6
23,16
2,6
45,48
11,15
26,33
